hai ying,海鹰,August First Film Studio,Beijing
wan shui qian shan,万水千山,August First Film Studio,Beijing
lie huo zhen jin,烈火真金,August First Film Studio,Beijing
wu duo hong yun,五朵红云,August First Film Studio,Beijing
ying xiong dao,英雄岛,August First Film Studio,Beijing
chi feng hao,赤峰号,August First Film Studio,Beijing
you yi,友谊,August First Film Studio,Beijing
zhan shang hai,战上海,August First Film Studio,Beijing
mu gui ying gua shuai (1959),穆桂英挂帅,Central Newsreel and Documentary Film Studio,Beijing
yu dao zhi zi,渔岛之子,Pearl River Film Studio,Canton
xue hai yin shan,雪海银山,Xi'an Film Studio,Xi'an
tian shan ge sheng,天山歌声,Xi'an Film Studio,Xi'an
xian hua duo duo kai,鲜花朵朵开,Xi'an Film Studio,Xi'an
ren xiao zhi da,人小志大,Zhejiang Film Studio,Zhejiang
gan xiang gan zuo de ren,敢想敢做的人,Shandong Film Studio,Shandong
er du mei,二度梅,Wuhan Film Studio,Hubei
huan hun ji,还魂记,Changchun Film Studio,Northeast
hong yan,鸿雁,Changchun Film Studio,Northeast
tai yang gang gang chu shan,太阳刚刚出山,Changchun Film Studio,Northeast
tuan yuan zhi hou,团圆之后,Changchun Film Studio,Northeast
kun lun tie ji,昆仑铁骑,Changchun Film Studio,Northeast
zai sheng ji,再生记,Changchun Film Studio,Northeast
tie dao wei shi,铁道卫士,Changchun Film Studio,Northeast
feng huo lie che,烽火列车,Changchun Film Studio,Northeast
shen yang shou,神秧手,Changchun Film Studio,Northeast
shi ji lang,十级浪,Changchun Film Studio,Northeast
pan yang song,潘杨讼,Changchun Film Studio,Northeast
liu san jie,刘三姐,Changchun Film Studio,Northeast
qiang di song,羌笛颂,Changchun Film Studio,Northeast
dong feng di yi zhi,东风第一枝,Changchun Film Studio,Northeast
kong yin he,空印盒,Changchun Film Studio,Northeast
wo men shi yi dai ren,我们是一代人,Changchun Film Studio,Northeast
you yuan jing meng (1960),游园惊梦(1960),Beijing Film Studio,Beijing
wei le liu shi yi ge jie ji xiong di,为了六十一个阶级兄弟,Beijing Film Studio,Beijing
yang men nv jiang,杨门女将,Beijing Film Studio,Beijing
wu cai lu,五彩路,Beijing Film Studio,Beijing
yi ge ming de ming yi,以革命的名义,Beijing Film Studio,Beijing
hong hua bian di kai,红花遍地开,Beijing Film Studio,Beijing
chun nuan hua kai,春暖花开,Beijing Film Studio,Beijing
geng yun bo yu,耕云播雨,Beijing Film Studio,Beijing
hong qi pu,红旗谱,Beijing Film Studio,Beijing
ge ming jia ting,革命家庭,Beijing Film Studio,Beijing
liu shi nian dai di yi chun,六十年代第一春,Haiyan Film Studio,Shanghai (state)
chuang guan,闯关,Haiyan Film Studio,Shanghai (state)
ji liu,激流,Haiyan Film Studio,Shanghai (state)
mian dian wen hua dai biao tuan fang hua yan chu,缅甸文化代表团访华演出,Haiyan Film Studio,Shanghai (state)
mo ya dai,摩雅傣,Haiyan Film Studio,Shanghai (state)
ma lan hua,马兰花,Haiyan Film Studio,Shanghai (state)
guan han qing,关汉卿,Haiyan Film Studio,Shanghai (state)
qin niang mei,秦娘美,Haiyan Film Studio,Shanghai (state)
nv shen,女审,Haiyan Film Studio,Shanghai (state)
ta men de xin yuan,她们的心愿,Tianma Film Studio,Shanghai (state)
feng liu ren wu shu jin zhao,风流人物数今朝,Tianma Film Studio,Shanghai (state)
xiang yang hua kai,向阳花开,Tianma Film Studio,Shanghai (state)
dou shi ting,斗诗亭,Tianma Film Studio,Shanghai (state)
sun wu kong san da bai gu jing,孙悟空三打白骨精,Tianma Film Studio,Shanghai (state)
hong ying zhan chi,红鹰展翅,August First Film Studio,Beijing
shi er ci lie che,十二次列车,August First Film Studio,Beijing
san ba xian shang,三八线上,August First Film Studio,Beijing
ke shan hong ri,柯山红日,August First Film Studio,Beijing
lin hai xue yuan,林海雪原,August First Film Studio,Beijing
hong ying,红鹰,August First Film Studio,Beijing
meng long sha,勐垅沙,August First Film Studio,Beijing
qi xi,奇袭,August First Film Studio,Beijing
ying xiong shi pian,英雄诗篇,Pearl River Film Studio,Canton
xin dui yuan,新队员,Pearl River Film Studio,Canton
hui yan dan xin,慧眼丹心,Pearl River Film Studio,Canton
bi kong yin hua,碧空银花,Xi'an Film Studio,Xi'an
yong heng de you yi,永恒的友谊,Xi'an Film Studio,Xi'an
kang han qu,抗旱曲,Xi'an Film Studio,Xi'an
cao yuan feng bao,草原风暴,Xi'an Film Studio,Xi'an
san di xue,三滴血,Xi'an Film Studio,Xi'an
yi wen qian,一文钱,Xi'an Film Studio,Xi'an
jia ling jiang bian,嘉陵江边,Emei Film Studio,Sichuan
liang dai ren,两代人,Xinjiang Film Studio,Xinjiang
qin ren,亲人,Wuhan Film Studio,Hubei
ge ming feng bao zhan sheng long juan feng,革命风暴战胜龙卷风,Wuhan Film Studio,Hubei
fu zi lia,父子俩,Studio of Beijing Film Academy,Beijing
ta men zai zhan dou,他们在战斗,Xinjiang Film Studio,Xinjiang
bei lei chu kai,蓓蕾初开,Tianjin Film Studio,Tianjin
ma xi tuan de xin jie mu,马戏团的新节目,Changchun Film Studio,Northeast
wan mu chun,万木春,Changchun Film Studio,Northeast
jian shui dong liu,涧水东流,Changchun Film Studio,Northeast
dong mei,冬梅,Changchun Film Studio,Northeast
shu jia de li wu,暑假的礼物,Changchun Film Studio,Northeast
hong hu chi wei dui,洪湖赤卫队,Beijing Film Studio,Beijing
bao feng zhou yu,暴风骤雨,Beijing Film Studio,Beijing
chun lei (1961),春雷,Beijing Film Studio,Beijing
bei da huang ren,北大荒人,Beijing Film Studio,Beijing
51 hao bing zhan,51号兵站,Haiyan Film Studio,Shanghai (state)
ku mu feng chun,枯木逢春,Haiyan Film Studio,Shanghai (state)
man luo hua,蔓萝花,Haiyan Film Studio,Shanghai (state)
chun cui tao li,春催桃李,Haiyan Film Studio,Shanghai (state)
hong se niang zi jun,红色娘子军,Tianma Film Studio,Shanghai (state)
ying xiong xiao ba lu,英雄小八路,Tianma Film Studio,Shanghai (state)
xiao dao hui,小刀会,Tianma Film Studio,Shanghai (state)
tu po wu jiang,突破乌江,August First Film Studio,Beijing
bi kong xiong shi,碧空雄师,August First Film Studio,Beijing
hong shan hu,红珊瑚,August First Film Studio,Beijing
li jing ji,荔镜记,Pearl River Film Studio,Canton
ba shan hong lang,巴山红浪,Xi'an Film Studio,Xi'an
yan an you ji dui,延安游击队,Xi'an Film Studio,Xi'an
da ji he ta de fu qin,达吉和她的父亲,Emei Film Studio,Sichuan
yuan fang xing huo,远方星火,Xinjiang Film Studio,Xinjiang
feng xue da bie shan,风雪大别山,Anhui Film Studio,Anhui
kou zhun bei xue,寇准背靴,Anhui Film Studio,Anhui
qi tian qi ye,七天七夜,Changchun Film Studio,Northeast
san guan pai yan,三关排宴,Changchun Film Studio,Northeast
liu yi chuan shu,柳毅传书,Changchun Film Studio,Northeast
jia wu feng yun,甲午风云,Changchun Film Studio,Northeast
lu huo zheng hong,炉火正红,Changchun Film Studio,Northeast
hua er duo duo,花儿朵朵,Beijing Film Studio,Beijing
kun lun shan shang yi ke cao,昆仑山上一棵草,Beijing Film Studio,Beijing
yang nai wu yu xiao bai cai,杨乃武与小白菜,Beijing Film Studio,Beijing
ye zhu lin,野猪林,Beijing Film Studio,Beijing
ting zhan yi hou,停战以后,Beijing Film Studio,Beijing
a na er han,阿娜尔罕,Beijing Film Studio,Beijing
jin shang tian hua,锦上添花,Beijing Film Studio,Beijing
sun an dong ben,孙安动本,Haiyan Film Studio,Shanghai (state)
li shuang shuang,李双双,Haiyan Film Studio,Shanghai (state)
hong lou meng,红楼梦,Haiyan Film Studio,Shanghai (state)
bi yu zan,碧玉簪,Haiyan Film Studio,Shanghai (state)
mo shu shi de qi yu,魔术师的奇遇,Tianma Film Studio,Shanghai (state)
nv li fa shi,女理发师,Tianma Film Studio,Shanghai (state)
liao yuan,燎原,Tianma Film Studio,Shanghai (state)
da li 、 xiao li he lao li,大李、小李和老李,Tianma Film Studio,Shanghai (state)
dong jin xu qu,东进序曲,August First Film Studio,Beijing
ge lia hao,哥俩好,August First Film Studio,Beijing
huai shu zhuang,槐树庄,August First Film Studio,Beijing
di lei zhan,地雷战,August First Film Studio,Beijing
e er duo si feng bao,鄂尔多斯风暴,August First Film Studio,Beijing
bi hai dan xin,碧海丹心,August First Film Studio,Beijing
ying xiong tan ke shou,英雄坦克手,August First Film Studio,Beijing
han jiang hua si jin,韩江花似锦,Pearl River Film Studio,Canton
nan hai chao (shang ji),南海潮（上集）,Pearl River Film Studio,Canton
qi wang qiu jiang,齐王求将,Pearl River Film Studio,Canton
hong ye ti shi,红叶题诗,Pearl River Film Studio,Canton
sheng ming de huo hua,生命的火花,Xi'an Film Studio,Xi'an
shang xiao yun wu tai yi shu,尚小云舞台艺术,Xi'an Film Studio,Xi'an
qiao tai shou luan dian yuan yang pu,乔太守乱点鸳鸯谱,Emei Film Studio,Sichuan
bing shan shang de lai ke,冰山上的来客,Changchun Film Studio,Northeast
hua wei mei,花为媒,Changchun Film Studio,Northeast
zi you hou lai ren,自有后来人,Changchun Film Studio,Northeast
chao yang gou,朝阳沟,Changchun Film Studio,Northeast
wo men cun li de nian qing ren (xu ji),我们村里的年轻人（续集）,Changchun Film Studio,Northeast
man yi bu man yi,满意不满意,Changchun Film Studio,Northeast
liang jia ren,两家人,Changchun Film Studio,Northeast
qiang tou ma shang,墙头马上,Changchun Film Studio,Northeast
bing xue jin da lai,冰雪金达莱,Changchun Film Studio,Northeast
fen shui chang liu,汾水长流,Beijing Film Studio,Beijing
hong he ji lang,红河激浪,Beijing Film Studio,Beijing
zao chun er yue,早春二月,Beijing Film Studio,Beijing
xiao bing zhang ga,小兵张嘎,Beijing Film Studio,Beijing
chun yan zhan chi,春燕展翅,Beijing Film Studio,Beijing
mu gui ying da zhan hong zhou,穆桂英大战洪州,Beijing Film Studio,Beijing
xiong mei tan bao,兄妹探宝,Haiyan Film Studio,Shanghai (state)
fei dao hua,飞刀华,Haiyan Film Studio,Shanghai (state)
you san jie,尤三姐,Haiyan Film Studio,Shanghai (state)
ru ci die niang,如此爹娘,Haiyan Film Studio,Shanghai (state)
bei guo jiang nan,北国江南,Haiyan Film Studio,Shanghai (state)
shui shou zhang de gu shi,水手长的故事,Haiyan Film Studio,Shanghai (state)
niu lang zhi nv,牛郎织女,Haiyan Film Studio,Shanghai (state)
hong ri,红日,Tianma Film Studio,Shanghai (state)
jin sha jiang pan,金沙江畔,Tianma Film Studio,Shanghai (state)
bao hu lu de mi mi,宝葫芦的秘密,Tianma Film Studio,Shanghai (state)
can hua gu niang,蚕花姑娘,Tianma Film Studio,Shanghai (state)
wu song,武松,Tianma Film Studio,Shanghai (state)
shuang zhu feng,双珠凤,Tianma Film Studio,Shanghai (state)
huai yin ji,槐荫记,Tianma Film Studio,Shanghai (state)
qiu mi,球迷,Tianma Film Studio,Shanghai (state)
ye huo chun feng dou gu cheng,野火春风斗古城,August First Film Studio,Beijing
nong nu,农奴,August First Film Studio,Beijing
nu chao,怒潮,August First Film Studio,Beijing
zhua zhuang ding,抓壮丁,August First Film Studio,Beijing
ge ming li shi ge qu biao yan chang,革命历史歌曲表演唱,August First Film Studio,Beijing
duo yin,夺印,August First Film Studio,Beijing
gen zong zhui ji,跟踪追击,Pearl River Film Studio,Canton
qi shi er jia fang ke,七十二家房客,Pearl River Film Studio,Canton
mao zi pei chuang gong,毛子佩闯宫,Pearl River Film Studio,Canton
tao hua shan,桃花扇,Xi'an Film Studio,Xi'an
zha mei an,铡美案,Changchun Film Studio,Northeast
du li da dui,独立大队,Changchun Film Studio,Northeast
bing lin cheng xia,兵临城下,Changchun Film Studio,Northeast
ying xiong er nv,英雄儿女,Changchun Film Studio,Northeast
hong guan jia,红管家,Changchun Film Studio,Northeast
hao xi fu,好媳妇,Changchun Film Studio,Northeast
nan hai de zao chen,南海的早晨,Changchun Film Studio,Northeast
nv tiao shui dui yuan,女跳水队员,Changchun Film Studio,Northeast
cai die fen fei,彩蝶纷飞,Beijing Film Studio,Beijing
xiao ling dang,小铃铛,Beijing Film Studio,Beijing
qing nian lu ban,青年鲁班,Beijing Film Studio,Beijing
xiao er hei jie hun,小二黑结婚,Beijing Film Studio,Beijing
qian wan bu yao wang ji,千万不要忘记,Beijing Film Studio,Beijing
cao yuan xiong ying,草原雄鹰,Beijing Film Studio,Beijing
jian gan he bian,箭杆河边,Beijing Film Studio,Beijing
qing shan lian,青山恋,Haiyan Film Studio,Shanghai (state)
a shi ma,阿诗玛,Haiyan Film Studio,Shanghai (state)
feng shou zhi hou,丰收之后,Haiyan Film Studio,Shanghai (state)
li shan zi,李善子,Haiyan Film Studio,Shanghai (state)
bai qiu en dai fu,白求恩大夫,Haiyan Film Studio,Shanghai (state)
jia ting wen ti,家庭问题,Tianma Film Studio,Shanghai (state)
ni hong deng xia de shao bing,霓虹灯下的哨兵,Tianma Film Studio,Shanghai (state)
xue bei,血碑,Tianma Film Studio,Shanghai (state)
an bian ji lang,岸边激浪,August First Film Studio,Beijing
dai bing de ren,带兵的人,August First Film Studio,Beijing
lei feng,雷锋,August First Film Studio,Beijing
fen shui ling,分水岭,August First Film Studio,Beijing
xu ri dong sheng,旭日东升,August First Film Studio,Beijing
dong feng wan li,东风万里,August First Film Studio,Beijing
ni feng qian li,逆风千里,Pearl River Film Studio,Canton
liu ming zhu,刘明珠,Pearl River Film Studio,Canton
tian shan de hong hua,天山的红花,Xi'an Film Studio,Xi'an
shan cun kuai ji,山村会计,Changchun Film Studio,Northeast
san jin shan cheng,三进山城,Changchun Film Studio,Northeast
jing po gu niang,景颇姑娘,Changchun Film Studio,Northeast
“te kuai” lie che,“特快”列车,Changchun Film Studio,Northeast
qing song ling,青松岭,Changchun Film Studio,Northeast
lu kao,路考,Changchun Film Studio,Northeast
chuan qiang ji,传枪记,Changchun Film Studio,Northeast
bai shan xin ge,白山新歌,Changchun Film Studio,Northeast
yi ke hong xin,一颗红心,Changchun Film Studio,Northeast
jin yao chi,金钥匙,Changchun Film Studio,Northeast
duo duo hong hua xiang tai yang,朵朵红花向太阳,Changchun Film Studio,Northeast
jie zhen guo,节振国,Changchun Film Studio,Northeast
lie huo zhong yong sheng,烈火中永生,Beijing Film Studio,Beijing
mei dian xin gong ren,煤店新工人,Beijing Film Studio,Beijing
shan cun jie mei,山村姐妹,Beijing Film Studio,Beijing
hong se bei lou,红色背篓,Beijing Film Studio,Beijing
long ma jing shen,龙马精神,Beijing Film Studio,Beijing
hua bei qu ye yu hua ju wu tai yi shu pian (shang ji),华北区业余话剧舞台艺术片（上集）,Beijing Film Studio,Beijing
hua bei qu ye yu hua ju wu tai yi shu pian (xia ji),华北区业余话剧舞台艺术片（下集）,Beijing Film Studio,Beijing
mai niu 、ba gua yuan,买牛、扒瓜园,Beijing Film Studio,Beijing
san duo xiao hong hua,三朵小红花,Beijing Film Studio,Beijing
lang tao gun gun,浪涛滚滚,Beijing Film Studio,Beijing
xiao zu qiu dui,小足球队,Haiyan Film Studio,Shanghai (state)
huang sha lv lang,黄沙绿浪,Haiyan Film Studio,Shanghai (state)
hong hua qu,红花曲,Haiyan Film Studio,Shanghai (state)
nong jia bao 、liang long di,农家宝、两垅地,Haiyan Film Studio,Shanghai (state)
zhe shi wo ying gai zuo de,这是我应该做的,Haiyan Film Studio,Shanghai (state)
gu sao lian wu,姑嫂练武,Haiyan Film Studio,Shanghai (state)
nian qing de yi dai,年青的一代,Tianma Film Studio,Shanghai (state)
gui tai,柜台,Tianma Film Studio,Shanghai (state)
wu tai jie mei,舞台姐妹,Tianma Film Studio,Shanghai (state)
xi qu ji jin,戏曲集锦,Tianma Film Studio,Shanghai (state)
shang hai zhi chun,上海之春,Tianma Film Studio,Shanghai (state)
fu jian gong yi xin hua,福建工艺新花,Shanghai Animation Film Studio,Shanghai (state)
shang hai shi shao nian er tong ge ming ge wu xuan ji,上海市少年儿童革命歌舞选辑,Shanghai Animation Film Studio,Shanghai (state)
da ji qin lve zhe,打击侵略者,August First Film Studio,Beijing
ku cai hua,苦菜花,August First Film Studio,Beijing
mi mi tu zhi,秘密图纸,August First Film Studio,Beijing
di dao zhan,地道战,August First Film Studio,Beijing
sheng li zai wang,胜利在望,August First Film Studio,Beijing
ye lin nu huo,椰林怒火,Anhui Film Studio,Anhui
jun ken zhan ge,军垦战歌,August First Film Studio,Beijing
dong fang hong,东方红,August First Film Studio,Beijing
shuang jiao zi,双教子,Pearl River Film Studio,Canton
shan cun xin qu,山村新曲,Pearl River Film Studio,Canton
da tong luo 、bu guo,打铜锣、补锅,Pearl River Film Studio,Canton
hong mei ling,红梅岭,Xi'an Film Studio,Xi'an
ren huan ma jiao,人欢马叫,Xi'an Film Studio,Xi'an
jun ge liao liang,军歌嘹亮,Xi'an Film Studio,Xi'an
ha er bin zhi xia,哈尔滨之夏,Changchun Film Studio,Northeast
yan hong ling xia,雁鸿岭下,Changchun Film Studio,Northeast
hong se you lu,红色邮路,Beijing Film Studio,Beijing
nv fei xing yuan,女飞行员,Beijing Film Studio,Beijing
hong shi zhong sheng,红石钟声,Beijing Film Studio,Beijing
ta men zai cheng zhang,他们在成长,Haiyan Film Studio,Shanghai (state)
shang hai gong yi mei shu,上海工艺美术,Shanghai Animation Film Studio,Shanghai (state)
yi bai ge fang xin,一百个放心,August First Film Studio,Beijing
qing chun hong si huo,青春红似火,August First Film Studio,Beijing
you xiang,游乡,Pearl River Film Studio,Canton
jie niu,借牛,Pearl River Film Studio,Canton
song liang,送粮,Pearl River Film Studio,Canton
da lang tao sha,大浪淘沙,Pearl River Film Studio,Canton
yi dai mai zhong,一袋麦种,Pearl River Film Studio,Canton
lao bao guan 、xin xi fu lai le,老保管、新媳妇来了,Xi'an Film Studio,Xi'an
yi chuan xiang lian,一串项链,Xi'an Film Studio,Xi'an
